Case No.	hb (m)	q* (W/m2)	T (C)	tau (N/m2)	u10 (m/s)	dfCO2 (umol)	Ddc(DIC)/dt (umol/(kg s))	DpH
1	31.8	-56.94	2.67	0.16	8.61	-17.44	-0.01426	2.06E-12
2	31.8	-56.94	2.67	0.1	7.08	-17.44	-0.25419	-3.17E-12
4	31.8	14.2	2.67	0.1	7.08	-47.71	0.10254	-7.47E-12
5	31.8	14.2	2.67	0.1	8.61	-47.71	-0.02664	-2.40E-13
6	31.8	14.2	2.67	0.1	8.61	-17.44	-0.02994	-5.39E-12
7	31.8	14.2	2.67	0.16	7.08	-47.71	-0.00022	-1.11E-13
8	31.8	14.2	2.67	0.16	7.08	12.83	0.00017	2.48E-12
9	31.8	14.2	2.67	0.16	8.61	-47.71	0.08386	1.82E-12
10	31.8	14.2	2.67	0.16	8.61	-17.44	0.08306	1.66E-12
11	31.8	14.2	2.67	0.16	8.61	12.83	0.08065	4.55E-12
12	31.8	14.2	2.67	0.1	7.08	-17.44	0.10446	-4.00E-12
13	31.8	14.2	2.67	0.16	7.08	-17.44	-0.00033	-4.09E-13
17	31.8	14.2	2.67	0.21	8.61	-47.71	0.05853	4.37E-12
18	31.8	14.2	2.67	0.21	8.61	-17.44	0.05643	3.42E-12
19	31.8	85.33	2.67	0.16	8.61	-47.71	0.24086	1.29E-12
21	31.8	85.33	2.67	0.1	7.08	-47.71	0.10914	-5.03E-12
24	31.8	85.33	2.67	0.26	8.61	-47.71	0.13996	7.05E-13
25	73.19	-56.94	2.67	0.16	8.61	-47.71	-0.04427	-2.22E-14
27	73.19	14.2	2.67	0.21	8.61	-17.44	0.01820	3.02E-14
28	73.19	14.2	2.67	0.16	8.61	-47.71	0.14383	3.16E-12
29	73.19	14.2	2.67	0.16	8.61	-17.44	0.14523	2.34E-13
30	73.19	14.2	2.67	0.16	8.61	12.83	0.14352	1.01E-12
31	73.19	14.2	2.67	0.16	10.14	-17.44	0.08783	-4.03E-13
32	73.19	14.2	2.67	0.16	10.14	12.83	0.08996	7.96E-12
35	73.19	14.2	2.67	0.21	10.14	-17.44	0.06025	-9.26E-13
36	73.19	14.2	2.67	0.21	10.14	12.83	0.06080	1.36E-12
37	73.19	14.2	2.67	0.21	11.67	12.83	0.06237	5.01E-13
38	73.19	14.2	2.67	0.26	10.14	-17.44	0.07061	9.82E-13
39	73.19	14.2	2.67	0.26	10.14	12.83	0.06985	1.35E-12
40	73.19	14.2	2.67	0.26	11.67	-17.44	0.10899	2.07E-12
41	73.19	14.2	2.67	0.26	11.67	12.83	0.10669	1.60E-12
43	73.19	14.2	2.67	0.32	11.67	12.83	0.17899	-2.82E-13
44	73.19	14.2	2.67	0.1	8.61	-47.71	0.01271	-6.76E-12
52	73.19	85.33	2.67	0.1	8.61	-17.44	0.04162	-1.10E-11
53	73.19	85.33	2.67	0.1	8.61	12.83	0.03794	-6.41E-12
54	73.19	85.33	2.67	0.16	8.61	-17.44	0.03545	3.44E-12
56	73.19	85.33	2.67	0.16	10.14	-17.44	0.05450	4.64E-12
57	73.19	85.33	2.67	0.16	10.14	12.83	0.05700	3.58E-12
58	73.19	85.33	2.67	0.21	10.14	-17.44	0.03690	8.63E-13
59	73.19	85.33	2.67	0.21	10.14	12.83	0.03538	-3.96E-12
60	73.19	85.33	2.67	0.21	11.67	12.83	0.06067	1.03E-12
61	73.19	85.33	2.67	0.26	10.14	-17.44	0.07599	8.06E-13
62	73.19	85.33	2.67	0.26	10.14	12.83	0.07372	-2.70E-12
63	73.19	85.33	2.67	0.26	11.67	-17.44	0.02383	-4.41E-12
64	73.19	85.33	2.67	0.26	11.67	12.83	0.01743	2.13E-12
69	114.57	-56.94	2.67	0.16	10.14	-17.44	0.08448	-4.65E-13
70	114.57	-56.94	2.67	0.16	8.61	-47.71	-0.00868	-4.69E-12
71	114.57	-56.94	2.67	0.21	8.61	-47.71	0.09152	-2.85E-12
72	114.57	14.2	2.67	0.16	8.61	-17.44	0.11541	-6.70E-12
73	114.57	14.2	2.67	0.16	8.61	12.83	0.11685	-1.83E-12
74	114.57	14.2	2.67	0.16	10.14	-17.44	0.06724	-9.78E-13
75	114.57	14.2	2.67	0.16	10.14	12.83	0.06931	1.84E-12
77	114.57	14.2	2.67	0.21	10.14	-17.44	0.06536	4.01E-12
80	114.57	14.2	2.67	0.26	10.14	-17.44	0.04660	-2.40E-12
81	114.57	14.2	2.67	0.26	10.14	12.83	0.04945	2.41E-12
82	114.57	14.2	2.67	0.26	11.67	-17.44	0.06110	-4.78E-12
83	114.57	14.2	2.67	0.26	11.67	12.83	0.05960	8.87E-13
84	114.57	14.2	2.67	0.32	11.67	-17.44	0.10636	-4.45E-12
85	114.57	14.2	2.67	0.32	11.67	12.83	0.10466	-1.42E-14
88	114.57	14.2	2.67	0.21	8.61	-47.71	0.12077	-2.75E-12
89	114.57	14.2	2.67	0.21	10.14	-47.71	0.06638	-3.88E-12
93	114.57	85.33	2.67	0.16	8.61	-17.44	-0.01779	3.93E-12
94	114.57	85.33	2.67	0.16	8.61	12.83	-0.02039	2.83E-12
95	114.57	85.33	2.67	0.16	10.14	-17.44	0.10186	1.34E-13
96	114.57	85.33	2.67	0.21	8.61	-17.44	0.03608	-2.10E-12
97	114.57	85.33	2.67	0.21	10.14	-17.44	-0.00165	1.14E-12
98	114.57	85.33	2.67	0.21	10.14	12.83	-0.00466	1.55E-12
99	114.57	85.33	2.67	0.21	11.67	12.83	0.12333	2.19E-12
100	114.57	85.33	2.67	0.26	10.14	-17.44	0.11142	-4.43E-12
101	114.57	85.33	2.67	0.26	10.14	12.83	0.11073	-2.23E-12
102	114.57	85.33	2.67	0.26	11.67	-17.44	0.05940	-2.92E-12
103	114.57	85.33	2.67	0.26	11.67	12.83	0.06003	2.75E-12
108	155.96	-56.94	2.67	0.26	11.67	-17.44	-0.01898	-1.11E-12
109	155.96	-56.94	2.67	0.21	8.61	-47.71	0.01723	-3.34E-12
110	155.96	14.2	2.67	0.16	10.14	-17.44	-0.03903	2.63E-12
111	155.96	14.2	2.67	0.21	10.14	-17.44	-0.03541	5.90E-12
112	155.96	14.2	2.67	0.21	10.14	12.83	-0.03430	6.23E-12
113	155.96	14.2	2.67	0.21	11.67	-17.44	-0.08985	-1.45E-12
114	155.96	14.2	2.67	0.26	10.14	-17.44	-0.01740	1.85E-12
115	155.96	14.2	2.67	0.26	10.14	12.83	-0.01748	2.66E-12
116	155.96	14.2	2.67	0.26	11.67	-17.44	0.13443	-4.80E-12
117	155.96	14.2	2.67	0.26	11.67	12.83	0.13522	-3.57E-12
118	155.96	14.2	2.67	0.21	10.14	-47.71	-0.03744	2.06E-12
120	155.96	14.2	2.67	0.26	8.61	-47.71	0.05720	-4.24E-12
121	155.96	85.33	2.67	0.21	10.14	-17.44	0.04296	7.02E-13
122	197.34	14.2	2.67	0.21	10.14	-17.44	0.02257	-2.36E-12
123	197.34	14.2	2.67	0.21	10.14	12.83	0.04513	-4.18E-12
124	197.34	14.2	2.67	0.21	11.67	-17.44	-0.04152	-1.46E-12
125	197.34	14.2	2.67	0.26	10.14	-17.44	0.07119	4.16E-12
126	197.34	14.2	2.67	0.26	11.67	-17.44	-0.11393	-2.39E-12
127	238.73	14.2	2.67	0.21	10.14	-17.44	0.02423	-1.98E-12
128	31.8	14.2	7.61	0.26	10.14	-17.44	-0.08679	-1.37E-12
129	31.8	-56.94	7.61	0.16	7.08	-47.71	0.06281	5.47E-12
130	31.8	-56.94	7.61	0.16	8.61	-47.71	0.09835	-1.89E-12
132	31.8	-56.94	7.61	0.21	10.14	-47.71	0.18676	3.94E-12
133	31.8	-56.94	7.61	0.26	10.14	-47.71	0.05729	-5.48E-12
134	31.8	-56.94	7.61	0.26	10.14	-17.44	0.06222	-3.49E-12
135	31.8	14.2	7.61	0.1	7.08	-17.44	0.03763	-2.33E-13
136	31.8	14.2	7.61	0.1	8.61	-17.44	0.08237	5.51E-12
137	31.8	14.2	7.61	0.16	7.08	-17.44	0.02129	5.49E-12
138	31.8	14.2	7.61	0.16	8.61	-17.44	0.12546	4.20E-12
139	31.8	14.2	7.61	0.16	8.61	12.83	-0.01392	2.47E-12
140	31.8	14.2	7.61	0.1	7.08	-47.71	0.03850	9.67E-13
142	31.8	14.2	7.61	0.1	7.08	12.83	0.03716	4.99E-12
144	31.8	14.2	7.61	0.16	7.08	-47.71	0.02571	2.95E-12
146	31.8	14.2	7.61	0.16	7.08	12.83	0.01950	1.72E-12
147	31.8	14.2	7.61	0.16	8.61	-47.71	0.12545	-2.23E-12
150	31.8	14.2	7.61	0.16	10.14	-17.44	0.09871	-1.01E-12
151	31.8	14.2	7.61	0.21	8.61	-47.71	0.10550	-1.76E-12
152	31.8	14.2	7.61	0.21	10.14	-47.71	0.03450	-3.36E-12
153	31.8	14.2	7.61	0.21	10.14	-17.44	0.03673	-1.96E-12
157	31.8	85.33	7.61	0.16	8.61	-47.71	0.10219	3.99E-12
158	31.8	85.33	7.61	0.16	8.61	-17.44	0.10380	-1.28E-12
159	31.8	85.33	7.61	0.1	7.08	-47.71	0.10978	1.17E-12
160	31.8	85.33	7.61	0.1	7.08	-17.44	0.11215	1.35E-12
161	31.8	85.33	7.61	0.1	8.61	-47.71	0.04677	1.23E-12
162	31.8	85.33	7.61	0.1	8.61	-17.44	0.04726	8.41E-12
165	31.8	85.33	7.61	0.16	8.61	12.83	0.10382	1.95E-12
168	73.19	-56.94	7.61	0.16	8.61	-17.44	0.02375	-8.46E-13
169	73.19	-56.94	7.61	0.21	8.61	-17.44	0.09541	6.46E-12
170	73.19	-56.94	7.61	0.26	10.14	-17.44	0.05653	-6.44E-13
171	73.19	-56.94	7.61	0.16	8.61	-47.71	0.02565	1.93E-12
173	73.19	-56.94	7.61	0.21	10.14	-47.71	0.08959	5.09E-12
174	73.19	-56.94	7.61	0.21	10.14	-17.44	0.08457	-4.38E-13
176	73.19	-56.94	7.61	0.26	11.67	-17.44	0.19123	-1.88E-12
177	73.19	14.2	7.61	0.16	8.61	-17.44	0.10728	-4.38E-12
178	73.19	14.2	7.61	0.16	8.61	12.83	0.10540	3.22E-12
179	73.19	14.2	7.61	0.1	8.61	-17.44	0.07516	1.05E-11
180	73.19	14.2	7.61	0.16	8.61	-47.71	0.10623	1.09E-12
183	73.19	14.2	7.61	0.16	10.14	-17.44	0.12181	3.84E-12
184	73.19	14.2	7.61	0.16	10.14	12.83	0.12181	7.46E-12
185	73.19	14.2	7.61	0.21	8.61	-17.44	0.04868	-2.24E-12
186	73.19	14.2	7.61	0.21	8.61	12.83	0.04637	2.96E-12
187	73.19	14.2	7.61	0.21	10.14	-17.44	0.03234	1.42E-12
188	73.19	14.2	7.61	0.21	10.14	12.83	0.03326	4.34E-12
189	73.19	14.2	7.61	0.21	11.67	-17.44	0.08100	3.72E-13
190	73.19	14.2	7.61	0.26	10.14	-17.44	0.10374	-3.60E-12
191	73.19	14.2	7.61	0.26	11.67	-17.44	0.10437	-3.55E-12
198	73.19	14.2	7.61	0.21	10.14	-47.71	0.03057	6.19E-13
202	73.19	85.33	7.61	0.1	8.61	-47.71	0.09321	3.41E-12
203	73.19	85.33	7.61	0.1	8.61	-17.44	0.09244	5.30E-12
204	73.19	85.33	7.61	0.16	8.61	-47.71	0.07756	6.63E-13
205	73.19	85.33	7.61	0.16	8.61	-17.44	0.07326	1.64E-12
206	73.19	85.33	7.61	0.16	8.61	12.83	0.07052	3.13E-12
207	73.19	85.33	7.61	0.16	10.14	-17.44	0.13610	-4.33E-13
208	73.19	85.33	7.61	0.16	10.14	12.83	0.13243	-4.02E-13
209	73.19	85.33	7.61	0.21	8.61	-17.44	0.07852	-9.96E-13
210	73.19	85.33	7.61	0.21	10.14	-17.44	0.05819	6.00E-12
211	73.19	85.33	7.61	0.21	10.14	12.83	0.05881	-3.63E-13
212	73.19	85.33	7.61	0.26	10.14	-17.44	0.09219	-6.02E-12
213	73.19	85.33	7.61	0.1	7.08	-17.44	0.07950	-6.45E-12
219	114.57	-56.94	7.61	0.32	11.67	-17.44	0.02827	-5.71E-12
220	114.57	-56.94	7.61	0.16	8.61	-47.71	0.07813	-4.13E-13
221	114.57	-56.94	7.61	0.16	8.61	-17.44	0.07501	-3.50E-12
222	114.57	-56.94	7.61	0.21	8.61	-17.44	0.07779	-3.77E-13
223	114.57	-56.94	7.61	0.21	10.14	-17.44	0.04803	1.89E-12
224	114.57	-56.94	7.61	0.26	10.14	-17.44	-0.07116	-2.65E-13
226	114.57	14.2	7.61	0.16	10.14	-17.44	0.22668	5.93E-13
227	114.57	14.2	7.61	0.16	10.14	12.83	0.23478	5.28E-12
228	114.57	14.2	7.61	0.21	8.61	-17.44	0.06510	3.01E-12
229	114.57	14.2	7.61	0.21	10.14	-17.44	-0.00005	-3.68E-12
230	114.57	14.2	7.61	0.21	10.14	12.83	-0.00598	1.15E-12
231	114.57	14.2	7.61	0.21	11.67	-17.44	0.15873	-3.92E-12
232	114.57	14.2	7.61	0.26	10.14	-17.44	0.03416	-1.95E-13
233	114.57	14.2	7.61	0.26	10.14	12.83	0.03540	-1.30E-12
234	114.57	14.2	7.61	0.26	11.67	-17.44	0.06563	-9.03E-13
235	114.57	14.2	7.61	0.26	11.67	12.83	0.06580	-2.13E-12
236	114.57	14.2	7.61	0.32	11.67	-17.44	0.24470	2.87E-12
237	114.57	14.2	7.61	0.16	8.61	-47.71	0.04363	8.28E-12
238	114.57	14.2	7.61	0.16	8.61	-17.44	0.04930	-5.71E-12
239	114.57	14.2	7.61	0.16	8.61	12.83	0.05311	6.73E-13
242	114.57	14.2	7.61	0.21	10.14	-47.71	-0.00039	4.89E-13
248	114.57	85.33	7.61	0.16	8.61	-17.44	0.09711	6.11E-12
249	114.57	85.33	7.61	0.16	10.14	-17.44	0.09133	5.23E-12
250	114.57	85.33	7.61	0.21	8.61	-17.44	0.03742	2.79E-12
251	114.57	85.33	7.61	0.21	10.14	-17.44	0.02469	3.58E-12
252	114.57	85.33	7.61	0.21	11.67	-17.44	0.13754	3.39E-12
253	114.57	85.33	7.61	0.26	11.67	-17.44	0.06963	3.44E-12
258	155.96	-56.94	7.61	0.26	11.67	-17.44	0.15254	-1.72E-12
259	155.96	-56.94	7.61	0.26	11.67	12.83	0.16032	-5.23E-12
260	155.96	-56.94	7.61	0.32	11.67	-17.44	0.11655	-1.27E-12
261	155.96	-56.94	7.61	0.16	8.61	-17.44	-0.12152	-8.65E-13
262	155.96	-56.94	7.61	0.21	8.61	-17.44	0.06866	-1.73E-12
263	155.96	-56.94	7.61	0.21	10.14	-17.44	-0.08561	2.14E-12
264	155.96	-56.94	7.61	0.26	10.14	-47.71	-0.08647	8.17E-14
268	155.96	14.2	7.61	0.21	10.14	-17.44	0.03203	1.11E-12
269	155.96	14.2	7.61	0.21	10.14	12.83	0.03385	2.75E-13
270	155.96	14.2	7.61	0.21	11.67	-17.44	0.02001	-2.80E-12
271	155.96	14.2	7.61	0.26	10.14	-17.44	0.02687	7.43E-13
272	155.96	14.2	7.61	0.26	10.14	12.83	0.02157	-3.42E-12
273	155.96	14.2	7.61	0.26	11.67	-17.44	0.00983	2.58E-12
274	155.96	14.2	7.61	0.26	11.67	12.83	0.01431	4.25E-12
275	155.96	14.2	7.61	0.32	11.67	-17.44	0.26572	-2.39E-12
276	155.96	14.2	7.61	0.16	10.14	-17.44	0.05021	4.30E-12
280	155.96	14.2	7.61	0.26	10.14	-47.71	0.03563	-4.28E-12
286	155.96	85.33	7.61	0.21	10.14	-17.44	-0.02328	-1.15E-12
288	197.34	-128.07	7.61	0.21	10.14	-17.44	0.05902	3.50E-13
289	197.34	-56.94	7.61	0.21	8.61	-17.44	0.04283	-2.98E-13
290	197.34	-56.94	7.61	0.21	10.14	-17.44	0.18257	3.26E-13
291	197.34	-56.94	7.61	0.26	11.67	-17.44	0.00563	9.88E-13
292	197.34	14.2	7.61	0.21	10.14	-17.44	0.04367	-2.57E-12
293	197.34	14.2	7.61	0.21	11.67	-17.44	0.03755	1.31E-12
294	197.34	14.2	7.61	0.26	10.14	-17.44	-0.04014	1.24E-12
297	197.34	14.2	7.61	0.21	10.14	12.83	0.04424	-1.36E-12
301	197.34	14.2	7.61	0.26	11.67	12.83	0.01843	1.74E-12
302	197.34	85.33	7.61	0.21	10.14	-17.44	0.06015	1.15E-14
304	238.73	-128.07	7.61	0.21	8.61	-17.44	-0.02188	1.24E-12
305	238.73	-56.94	7.61	0.21	8.61	-17.44	0.02129	4.24E-12
306	238.73	-56.94	7.61	0.21	10.14	-17.44	0.04541	2.30E-12
307	238.73	14.2	7.61	0.21	10.14	-17.44	0.36865	-7.09E-13
308	238.73	14.2	7.61	0.26	10.14	-17.44	-0.03568	4.48E-13
309	238.73	14.2	7.61	0.26	11.67	-17.44	0.25098	4.96E-13
313	31.8	-128.07	12.55	0.21	10.14	-47.71	0.08202	-9.46E-12
314	31.8	-56.94	12.55	0.1	7.08	-47.71	0.01631	-3.54E-12
315	31.8	-56.94	12.55	0.16	7.08	-47.71	0.03712	-3.35E-12
316	31.8	-56.94	12.55	0.16	8.61	-47.71	0.10431	-9.22E-12
317	31.8	-56.94	12.55	0.16	8.61	-17.44	0.10325	-5.72E-12
318	31.8	-56.94	12.55	0.1	7.08	-17.44	0.01900	-2.15E-11
321	31.8	-56.94	12.55	0.21	8.61	-47.71	0.08667	-1.29E-11
322	31.8	-56.94	12.55	0.21	10.14	-47.71	0.20268	-1.33E-11
323	31.8	14.2	12.55	0.1	7.08	-47.71	0.15133	-1.76E-11
324	31.8	14.2	12.55	0.1	7.08	-17.44	0.15386	-9.82E-12
325	31.8	14.2	12.55	0.1	8.61	-17.44	0.05149	-1.06E-11
326	31.8	14.2	12.55	0.16	8.61	-17.44	0.23185	-1.34E-11
330	31.8	14.2	12.55	0.16	7.08	-47.71	0.12896	-1.05E-11
331	31.8	14.2	12.55	0.16	7.08	-17.44	0.13230	-1.91E-11
332	31.8	14.2	12.55	0.16	8.61	-47.71	0.23122	-1.38E-11
334	31.8	14.2	12.55	0.16	8.61	12.83	0.23183	-8.99E-12
336	31.8	14.2	12.55	0.1	8.61	-47.71	0.05379	-4.41E-12
340	31.8	14.2	12.55	0.16	10.14	-47.71	0.01253	-9.14E-12
341	31.8	14.2	12.55	0.16	10.14	-17.44	0.01533	-1.45E-11
342	31.8	85.33	12.55	0.05	5.54	-17.44	0.00807	-2.02E-12
343	31.8	85.33	12.55	0.05	7.08	-17.44	0.02433	1.38E-11
344	31.8	85.33	12.55	0.1	7.08	-47.71	0.12365	-1.73E-11
345	31.8	85.33	12.55	0.1	7.08	-17.44	0.12871	-1.45E-11
346	31.8	85.33	12.55	0.1	8.61	-17.44	0.02274	-1.47E-11
347	31.8	85.33	12.55	0.16	7.08	-47.71	0.06360	-1.42E-11
348	31.8	85.33	12.55	0.16	7.08	-17.44	0.06562	-8.77E-12
352	73.19	-128.07	12.55	0.16	8.61	-47.71	0.17712	-5.60E-12
353	73.19	-128.07	12.55	0.21	8.61	-47.71	0.32055	-8.39E-12
354	73.19	-128.07	12.55	0.26	10.14	-47.71	0.11626	-1.15E-11
355	73.19	-128.07	12.55	0.26	11.67	-47.71	0.10736	-5.86E-12
356	73.19	-56.94	12.55	0.16	8.61	-47.71	0.12902	-4.94E-12
357	73.19	-56.94	12.55	0.16	8.61	-17.44	0.13574	-4.84E-12
358	73.19	-56.94	12.55	0.21	8.61	-47.71	0.11850	-3.07E-12
359	73.19	-56.94	12.55	0.21	8.61	-17.44	0.12038	-7.62E-12
360	73.19	-56.94	12.55	0.21	10.14	-47.71	0.08113	-4.84E-12
363	73.19	-56.94	12.55	0.16	10.14	-47.71	0.12737	-1.24E-11
364	73.19	-56.94	12.55	0.16	10.14	-17.44	0.12467	-3.37E-12
368	73.19	-56.94	12.55	0.21	10.14	-17.44	0.07831	1.97E-12
369	73.19	-56.94	12.55	0.26	10.14	-47.71	0.10371	-5.26E-12
370	73.19	-56.94	12.55	0.26	10.14	-17.44	0.10516	-4.25E-12
371	73.19	-56.94	12.55	0.26	11.67	-47.71	0.15355	-1.05E-11
372	73.19	-56.94	12.55	0.26	11.67	-17.44	0.15251	-1.21E-11
373	73.19	-56.94	12.55	0.32	11.67	-17.44	0.05084	-7.68E-12
374	73.19	14.2	12.55	0.1	7.08	-17.44	0.05718	-2.37E-12
375	73.19	14.2	12.55	0.1	8.61	-17.44	0.14022	-8.42E-12
376	73.19	14.2	12.55	0.16	7.08	-47.71	0.16524	-6.95E-12
377	73.19	14.2	12.55	0.16	7.08	-17.44	0.16766	-1.17E-11
378	73.19	14.2	12.55	0.16	8.61	-47.71	0.11340	7.73E-14
379	73.19	14.2	12.55	0.16	8.61	-17.44	0.11275	-7.03E-12
381	73.19	14.2	12.55	0.16	10.14	-17.44	0.14760	-3.53E-12
382	73.19	14.2	12.55	0.21	8.61	-47.71	0.05420	-5.37E-12
383	73.19	14.2	12.55	0.21	8.61	-17.44	0.04697	-4.64E-12
384	73.19	14.2	12.55	0.21	10.14	-17.44	0.12613	-5.25E-12
385	73.19	14.2	12.55	0.1	7.08	-47.71	0.05842	7.55E-13
387	73.19	14.2	12.55	0.1	8.61	-47.71	0.14339	-1.68E-11
391	73.19	14.2	12.55	0.16	10.14	-47.71	0.14433	-5.00E-12
395	73.19	14.2	12.55	0.21	10.14	-47.71	0.12711	-1.44E-11
397	73.19	14.2	12.55	0.26	10.14	-17.44	0.07447	-5.13E-13
398	73.19	14.2	12.55	0.26	11.67	-17.44	0.15829	-5.51E-12
