Case No.	hb (m)	qstar (W/m2)	S	T (C)	tau (N/m2)	u10 (m/s)	dfco2 (uatm)
462	31.80	-128.07	35.25	17.49	0.21	8.61	-47.71
463	31.80	-128.07	35.25	17.49	0.21	8.61	-17.44
464	31.80	-128.07	35.25	17.49	0.21	10.14	-47.71
465	31.80	-128.07	35.25	17.49	0.21	10.14	-17.44
466	31.80	-128.07	36.94	17.49	0.21	10.14	-17.44
467	31.80	-56.94	31.88	17.49	0.10	7.08	-47.71
468	31.80	-56.94	35.25	17.49	0.10	8.61	-47.71
469	31.80	-56.94	35.25	17.49	0.16	7.08	-47.71
470	31.80	-56.94	35.25	17.49	0.16	7.08	-17.44
471	31.80	-56.94	35.25	17.49	0.16	8.61	-47.71
472	31.80	-56.94	35.25	17.49	0.16	8.61	-17.44
473	31.80	-56.94	35.25	17.49	0.16	10.14	-47.71
474	31.80	14.20	28.50	17.49	0.10	7.08	-47.71
475	31.80	14.20	31.88	17.49	0.10	7.08	-47.71
476	31.80	14.20	33.56	17.49	0.10	7.08	-47.71
477	31.80	14.20	33.56	17.49	0.10	7.08	-17.44
478	31.80	14.20	33.56	17.49	0.10	7.08	12.83
479	31.80	14.20	33.56	17.49	0.10	8.61	-17.44
480	31.80	14.20	33.56	17.49	0.10	8.61	12.83
481	31.80	14.20	33.56	17.49	0.16	8.61	-17.44
482	31.80	14.20	33.56	17.49	0.16	8.61	12.83
483	31.80	14.20	35.25	17.49	0.05	7.08	-17.44
484	31.80	14.20	35.25	17.49	0.10	7.08	-47.71
485	31.80	14.20	35.25	17.49	0.10	7.08	-17.44
486	31.80	14.20	35.25	17.49	0.10	7.08	12.83
487	31.80	14.20	35.25	17.49	0.10	8.61	-47.71
488	31.80	14.20	35.25	17.49	0.16	7.08	-17.44
489	31.80	14.20	35.25	17.49	0.16	8.61	-47.71
490	31.80	14.20	35.25	17.49	0.16	8.61	-17.44
491	31.80	14.20	35.25	17.49	0.16	10.14	-47.71
492	31.80	14.20	36.94	17.49	0.10	7.08	-17.44
493	31.80	85.33	31.88	17.49	0.10	7.08	-47.71
494	31.80	85.33	33.56	17.49	0.05	5.54	-17.44
495	31.80	85.33	33.56	17.49	0.05	5.54	12.83
496	31.80	85.33	33.56	17.49	0.05	7.08	-17.44
497	31.80	85.33	33.56	17.49	0.05	7.08	12.83
498	31.80	85.33	33.56	17.49	0.10	5.54	-17.44
499	31.80	85.33	33.56	17.49	0.10	7.08	-47.71
500	31.80	85.33	33.56	17.49	0.10	7.08	-17.44
501	31.80	85.33	33.56	17.49	0.10	7.08	12.83
502	31.80	85.33	35.25	17.49	0.05	4.01	12.83
503	31.80	85.33	35.25	17.49	0.05	5.54	12.83
504	31.80	85.33	35.25	17.49	0.05	7.08	12.83
505	31.80	85.33	35.25	17.49	0.05	7.08	43.10
506	31.80	85.33	35.25	17.49	0.10	7.08	-17.44
507	31.80	85.33	35.25	17.49	0.10	7.08	12.83
508	31.80	85.33	35.25	17.49	0.16	7.08	-17.44
509	31.80	156.47	35.25	17.49	0.10	7.08	-17.44
510	73.19	-199.21	35.25	17.49	0.21	10.14	-17.44
511	73.19	-128.07	33.56	17.49	0.16	8.61	-47.71
512	73.19	-128.07	33.56	17.49	0.21	8.61	-47.71
513	73.19	-128.07	35.25	17.49	0.16	8.61	-47.71
514	73.19	-128.07	35.25	17.49	0.16	8.61	-17.44
515	73.19	-128.07	35.25	17.49	0.16	10.14	-47.71
516	73.19	-128.07	35.25	17.49	0.16	10.14	-17.44
517	73.19	-128.07	35.25	17.49	0.21	8.61	-47.71
518	73.19	-128.07	35.25	17.49	0.21	10.14	-47.71
519	73.19	-128.07	35.25	17.49	0.21	10.14	-17.44
520	73.19	-128.07	36.94	17.49	0.21	10.14	-17.44
521	73.19	-56.94	33.56	17.49	0.16	8.61	-47.71
522	73.19	-56.94	33.56	17.49	0.21	8.61	-47.71
523	73.19	-56.94	35.25	17.49	0.10	7.08	-47.71
524	73.19	-56.94	35.25	17.49	0.10	8.61	-47.71
525	73.19	-56.94	35.25	17.49	0.10	8.61	-17.44
526	73.19	-56.94	35.25	17.49	0.16	7.08	-47.71
527	73.19	-56.94	35.25	17.49	0.16	7.08	-17.44
528	73.19	-56.94	35.25	17.49	0.16	8.61	-47.71
529	73.19	-56.94	35.25	17.49	0.16	8.61	-17.44
530	73.19	-56.94	35.25	17.49	0.16	10.14	-47.71
531	73.19	-56.94	35.25	17.49	0.16	10.14	-17.44
532	73.19	-56.94	35.25	17.49	0.21	8.61	-47.71
533	73.19	-56.94	35.25	17.49	0.21	8.61	-17.44
534	73.19	-56.94	35.25	17.49	0.21	10.14	-47.71
535	73.19	-56.94	35.25	17.49	0.21	10.14	-17.44
536	73.19	-56.94	36.94	17.49	0.16	8.61	-17.44
537	73.19	14.20	33.56	17.49	0.05	7.08	-17.44
538	73.19	14.20	33.56	17.49	0.05	7.08	12.83
539	73.19	14.20	33.56	17.49	0.10	7.08	-17.44
540	73.19	14.20	33.56	17.49	0.10	7.08	12.83
541	73.19	14.20	33.56	17.49	0.10	8.61	-17.44
542	73.19	14.20	33.56	17.49	0.10	8.61	12.83
543	73.19	14.20	33.56	17.49	0.16	7.08	-47.71
544	73.19	14.20	33.56	17.49	0.16	7.08	-17.44
545	73.19	14.20	33.56	17.49	0.16	8.61	-47.71
546	73.19	14.20	33.56	17.49	0.16	8.61	-17.44
547	73.19	14.20	33.56	17.49	0.16	8.61	12.83
548	73.19	14.20	35.25	17.49	0.05	5.54	-17.44
549	73.19	14.20	35.25	17.49	0.05	5.54	12.83
550	73.19	14.20	35.25	17.49	0.05	7.08	-17.44
551	73.19	14.20	35.25	17.49	0.05	7.08	12.83
552	73.19	14.20	35.25	17.49	0.10	7.08	-47.71
553	73.19	14.20	35.25	17.49	0.10	7.08	-17.44
554	73.19	14.20	35.25	17.49	0.10	7.08	12.83
555	73.19	14.20	35.25	17.49	0.10	8.61	-47.71
556	73.19	14.20	35.25	17.49	0.10	8.61	-17.44
557	73.19	14.20	35.25	17.49	0.10	8.61	12.83
558	73.19	14.20	35.25	17.49	0.16	7.08	-47.71
559	73.19	14.20	35.25	17.49	0.16	7.08	-17.44
560	73.19	14.20	35.25	17.49	0.16	8.61	-47.71
561	73.19	14.20	35.25	17.49	0.16	8.61	-17.44
562	73.19	14.20	35.25	17.49	0.16	10.14	-17.44
563	73.19	14.20	36.94	17.49	0.10	7.08	-17.44
564	73.19	14.20	36.94	17.49	0.10	8.61	-17.44
565	73.19	14.20	36.94	17.49	0.16	8.61	-17.44
566	73.19	85.33	33.56	17.49	0.05	5.54	-17.44
567	73.19	85.33	33.56	17.49	0.05	5.54	12.83
568	73.19	85.33	33.56	17.49	0.05	7.08	-17.44
569	73.19	85.33	33.56	17.49	0.05	7.08	12.83
570	73.19	85.33	33.56	17.49	0.10	7.08	-17.44
571	73.19	85.33	35.25	17.49	0.05	5.54	-17.44
572	73.19	85.33	35.25	17.49	0.05	5.54	12.83
573	73.19	85.33	35.25	17.49	0.05	7.08	-17.44
574	73.19	85.33	35.25	17.49	0.05	7.08	12.83
575	73.19	85.33	35.25	17.49	0.10	7.08	-17.44
576	73.19	85.33	35.25	17.49	0.10	7.08	12.83
577	114.57	-128.07	35.25	17.49	0.21	10.14	-47.71
578	114.57	-128.07	35.25	17.49	0.26	10.14	-47.71
579	114.57	-128.07	36.94	17.49	0.21	10.14	-47.71
580	114.57	-56.94	35.25	17.49	0.16	8.61	-47.71
581	114.57	-56.94	35.25	17.49	0.16	8.61	-17.44
582	114.57	-56.94	35.25	17.49	0.16	10.14	-47.71
583	114.57	-56.94	35.25	17.49	0.16	10.14	-17.44
584	114.57	-56.94	35.25	17.49	0.21	8.61	-47.71
585	114.57	-56.94	35.25	17.49	0.21	8.61	-17.44
586	114.57	-56.94	35.25	17.49	0.21	10.14	-47.71
587	114.57	-56.94	35.25	17.49	0.21	10.14	-17.44
588	114.57	-56.94	36.94	17.49	0.16	8.61	-17.44
589	114.57	-56.94	36.94	17.49	0.16	10.14	-17.44
590	114.57	-56.94	36.94	17.49	0.21	10.14	-17.44
591	114.57	14.20	35.25	17.49	0.10	8.61	-17.44
592	114.57	14.20	35.25	17.49	0.16	8.61	-47.71
593	114.57	14.20	35.25	17.49	0.16	8.61	-17.44
594	114.57	14.20	35.25	17.49	0.16	10.14	-47.71
595	114.57	14.20	35.25	17.49	0.16	10.14	-17.44
596	31.80	-199.21	31.88	22.43	0.16	8.61	-47.71
597	31.80	-199.21	33.56	22.43	0.16	8.61	-47.71
598	31.80	-199.21	36.94	22.43	0.16	8.61	-17.44
599	31.80	-199.21	36.94	22.43	0.16	10.14	-17.44
600	31.80	-199.21	36.94	22.43	0.21	10.14	-17.44
601	31.80	-128.07	33.56	22.43	0.10	7.08	-47.71
602	31.80	-128.07	33.56	22.43	0.10	7.08	-17.44
603	31.80	-128.07	33.56	22.43	0.10	8.61	-17.44
604	31.80	-128.07	33.56	22.43	0.16	8.61	-47.71
605	31.80	-128.07	33.56	22.43	0.16	8.61	-17.44
606	31.80	-128.07	35.25	22.43	0.10	7.08	-17.44
607	31.80	-128.07	35.25	22.43	0.10	8.61	-47.71
608	31.80	-128.07	35.25	22.43	0.16	8.61	-47.71
609	31.80	-128.07	35.25	22.43	0.16	10.14	-47.71
610	31.80	-128.07	35.25	22.43	0.21	10.14	-47.71
611	31.80	-128.07	35.25	22.43	0.21	10.14	-17.44
612	31.80	-128.07	36.94	22.43	0.10	7.08	12.83
613	31.80	-128.07	36.94	22.43	0.10	8.61	-17.44
614	31.80	-128.07	36.94	22.43	0.16	8.61	-17.44
615	31.80	-128.07	36.94	22.43	0.16	10.14	-17.44
616	31.80	-128.07	36.94	22.43	0.21	10.14	-17.44
617	31.80	-56.94	33.56	22.43	0.10	7.08	-47.71
618	31.80	-56.94	33.56	22.43	0.10	7.08	-17.44
619	31.80	-56.94	35.25	22.43	0.05	7.08	-17.44
620	31.80	-56.94	35.25	22.43	0.10	7.08	-17.44
621	31.80	-56.94	35.25	22.43	0.10	8.61	-47.71
622	31.80	-56.94	35.25	22.43	0.10	8.61	-17.44
623	31.80	-56.94	35.25	22.43	0.16	7.08	-17.44
624	31.80	-56.94	35.25	22.43	0.16	8.61	-47.71
625	31.80	-56.94	35.25	22.43	0.16	8.61	-17.44
626	31.80	-56.94	36.94	22.43	0.10	7.08	-17.44
627	31.80	-56.94	36.94	22.43	0.10	7.08	12.83
628	31.80	-56.94	36.94	22.43	0.10	8.61	-17.44
629	31.80	-56.94	36.94	22.43	0.16	8.61	-47.71
630	31.80	-56.94	35.25	22.43	0.05	4.01	73.37
631	31.80	14.20	33.56	22.43	0.10	7.08	-17.44
632	31.80	14.20	33.56	22.43	0.10	8.61	-47.71
633	31.80	14.20	35.25	22.43	0.05	5.54	-17.44
634	31.80	14.20	35.25	22.43	0.05	5.54	12.83
635	31.80	14.20	35.25	22.43	0.05	7.08	-17.44
636	31.80	14.20	35.25	22.43	0.05	7.08	12.83
637	31.80	14.20	35.25	22.43	0.10	7.08	-47.71
638	31.80	14.20	35.25	22.43	0.10	7.08	-17.44
639	31.80	14.20	35.25	22.43	0.10	7.08	12.83
640	31.80	14.20	35.25	22.43	0.10	8.61	-47.71
641	31.80	14.20	35.25	22.43	0.10	8.61	-17.44
642	31.80	14.20	35.25	22.43	0.16	8.61	-17.44
643	31.80	14.20	36.94	22.43	0.05	5.54	-17.44
644	31.80	14.20	36.94	22.43	0.05	7.08	-17.44
645	31.80	14.20	36.94	22.43	0.05	7.08	12.83
646	31.80	14.20	36.94	22.43	0.10	7.08	-17.44
647	31.80	14.20	36.94	22.43	0.10	7.08	12.83
648	31.80	14.20	36.94	22.43	0.10	8.61	-17.44
649	31.80	85.33	33.56	22.43	0.05	5.54	12.83
650	31.80	85.33	35.25	22.43	0.05	4.01	12.83
651	31.80	85.33	35.25	22.43	0.05	5.54	12.83
652	31.80	85.33	35.25	22.43	0.05	5.54	73.37
653	31.80	85.33	35.25	22.43	0.05	7.08	12.83
654	31.80	85.33	35.25	22.43	0.05	7.08	43.10
655	31.80	85.33	35.25	22.43	0.05	7.08	73.37
656	31.80	85.33	35.25	22.43	0.10	7.08	12.83
657	31.80	85.33	35.25	22.43	0.10	7.08	43.10
658	31.80	85.33	35.25	22.43	0.10	7.08	73.37
659	31.80	85.33	35.25	22.43	0.10	8.61	12.83
660	31.80	85.33	36.94	22.43	0.05	5.54	12.83
661	31.80	85.33	36.94	22.43	0.05	7.08	12.83
662	31.80	85.33	36.94	22.43	0.10	7.08	-17.44
663	31.80	85.33	36.94	22.43	0.10	7.08	12.83
664	31.80	156.47	33.56	22.43	0.05	5.54	12.83
665	31.80	156.47	33.56	22.43	0.05	5.54	43.10
666	31.80	156.47	33.56	22.43	0.05	5.54	73.37
667	31.80	156.47	35.25	22.43	0.05	4.01	73.37
668	31.80	156.47	35.25	22.43	0.05	4.01	103.65
669	31.80	156.47	35.25	22.43	0.05	5.54	12.83
670	31.80	156.47	35.25	22.43	0.05	5.54	43.10
671	31.80	156.47	35.25	22.43	0.05	5.54	73.37
672	31.80	156.47	35.25	22.43	0.05	5.54	103.65
673	73.19	-199.21	33.56	22.43	0.16	8.61	-47.71
674	73.19	-199.21	35.25	22.43	0.16	8.61	-47.71
675	73.19	-199.21	36.94	22.43	0.16	8.61	-17.44
676	73.19	-199.21	36.94	22.43	0.16	10.14	-17.44
677	73.19	-199.21	36.94	22.43	0.21	10.14	-17.44
678	73.19	-128.07	33.56	22.43	0.10	7.08	-47.71
679	73.19	-128.07	33.56	22.43	0.10	8.61	-47.71
680	73.19	-128.07	33.56	22.43	0.16	8.61	-47.71
681	73.19	-128.07	33.56	22.43	0.16	8.61	-17.44
682	73.19	-128.07	35.25	22.43	0.10	7.08	-47.71
683	73.19	-128.07	35.25	22.43	0.10	7.08	-17.44
684	73.19	-128.07	35.25	22.43	0.10	8.61	-17.44
685	73.19	-128.07	35.25	22.43	0.16	8.61	-47.71
686	73.19	-128.07	35.25	22.43	0.16	8.61	-17.44
687	73.19	-128.07	35.25	22.43	0.16	10.14	-17.44
688	73.19	-128.07	35.25	22.43	0.21	8.61	-47.71
689	73.19	-128.07	35.25	22.43	0.21	10.14	-17.44
690	73.19	-128.07	36.94	22.43	0.16	8.61	-17.44
691	73.19	-128.07	36.94	22.43	0.16	10.14	-17.44
692	73.19	-128.07	36.94	22.43	0.21	10.14	-17.44
693	73.19	-56.94	35.25	22.43	0.10	7.08	-47.71
694	73.19	-56.94	35.25	22.43	0.10	7.08	-17.44
695	73.19	-56.94	35.25	22.43	0.10	8.61	-47.71
696	73.19	-56.94	35.25	22.43	0.10	8.61	-17.44
697	73.19	-56.94	35.25	22.43	0.16	7.08	-17.44
698	73.19	-56.94	35.25	22.43	0.16	8.61	-47.71
699	73.19	-56.94	35.25	22.43	0.16	8.61	-17.44
700	73.19	-56.94	36.94	22.43	0.10	7.08	-17.44
701	73.19	-56.94	36.94	22.43	0.10	8.61	-17.44
702	73.19	-56.94	36.94	22.43	0.16	8.61	-17.44
703	73.19	-56.94	36.94	22.43	0.16	10.14	-17.44
704	73.19	14.20	35.25	22.43	0.05	5.54	-17.44
705	73.19	14.20	35.25	22.43	0.05	5.54	12.83
706	73.19	14.20	35.25	22.43	0.05	7.08	-17.44
707	73.19	14.20	35.25	22.43	0.05	7.08	12.83
708	73.19	14.20	35.25	22.43	0.10	7.08	-47.71
709	73.19	14.20	35.25	22.43	0.10	7.08	-17.44
710	73.19	14.20	35.25	22.43	0.10	7.08	12.83
711	73.19	14.20	35.25	22.43	0.10	8.61	-47.71
712	73.19	14.20	35.25	22.43	0.10	8.61	-17.44
713	73.19	14.20	36.94	22.43	0.05	5.54	-17.44
714	73.19	14.20	36.94	22.43	0.05	5.54	12.83
715	73.19	14.20	36.94	22.43	0.05	7.08	-17.44
716	73.19	14.20	36.94	22.43	0.05	7.08	12.83
717	73.19	14.20	36.94	22.43	0.10	5.54	-17.44
718	73.19	14.20	36.94	22.43	0.10	7.08	-17.44
719	73.19	14.20	36.94	22.43	0.10	7.08	12.83
720	73.19	14.20	36.94	22.43	0.10	8.61	-17.44
721	73.19	14.20	36.94	22.43	0.16	8.61	-17.44
722	73.19	85.33	33.56	22.43	0.10	7.08	12.83
723	73.19	85.33	33.56	22.43	0.05	5.54	-17.44
724	73.19	85.33	33.56	22.43	0.05	5.54	12.83
725	73.19	85.33	35.25	22.43	0.05	5.54	-17.44
726	73.19	85.33	35.25	22.43	0.05	5.54	12.83
727	73.19	85.33	35.25	22.43	0.05	7.08	-17.44
728	73.19	85.33	35.25	22.43	0.05	7.08	12.83
729	73.19	85.33	35.25	22.43	0.05	7.08	43.10
730	73.19	85.33	35.25	22.43	0.10	7.08	-17.44
731	73.19	85.33	35.25	22.43	0.10	7.08	12.83
732	73.19	85.33	35.25	22.43	0.10	7.08	43.10
733	73.19	85.33	35.25	22.43	0.10	8.61	12.83
734	73.19	85.33	36.94	22.43	0.05	5.54	-17.44
735	73.19	85.33	36.94	22.43	0.05	5.54	12.83
736	73.19	85.33	36.94	22.43	0.05	7.08	-17.44
737	73.19	85.33	36.94	22.43	0.05	7.08	12.83
738	73.19	85.33	36.94	22.43	0.10	7.08	12.83
739	114.57	-128.07	36.94	22.43	0.16	10.14	-17.44
740	114.57	-128.07	36.94	22.43	0.21	10.14	-17.44
741	114.57	-56.94	36.94	22.43	0.16	8.61	-17.44
742	114.57	-56.94	36.94	22.43	0.16	10.14	-17.44
743	114.57	14.20	36.94	22.43	0.10	8.61	-17.44
744	114.57	14.20	36.94	22.43	0.16	8.61	-17.44
745	31.80	-199.21	36.94	27.37	0.10	7.08	12.83
746	31.80	-199.21	36.94	27.37	0.16	7.08	12.83
747	31.80	-199.21	36.94	27.37	0.16	8.61	12.83
748	31.80	-128.07	33.56	27.37	0.10	8.61	-17.44
749	31.80	-128.07	35.25	27.37	0.10	7.08	-17.44
750	31.80	-128.07	35.25	27.37	0.10	8.61	-17.44
751	31.80	-128.07	36.94	27.37	0.10	7.08	12.83
752	31.80	-56.94	33.56	27.37	0.10	7.08	-17.44
753	31.80	-56.94	33.56	27.37	0.10	8.61	-17.44
754	31.80	-56.94	33.56	27.37	0.16	8.61	-17.44
755	31.80	-56.94	35.25	27.37	0.05	5.54	-17.44
756	31.80	-56.94	35.25	27.37	0.05	5.54	12.83
757	31.80	-56.94	35.25	27.37	0.05	7.08	-17.44
758	31.80	-56.94	35.25	27.37	0.10	7.08	-17.44
759	31.80	-56.94	35.25	27.37	0.10	8.61	-17.44
760	31.80	-56.94	36.94	27.37	0.05	5.54	-17.44
761	31.80	-56.94	36.94	27.37	0.05	5.54	12.83
762	31.80	-56.94	36.94	27.37	0.05	7.08	-17.44
763	31.80	-56.94	36.94	27.37	0.10	5.54	-17.44
764	31.80	-56.94	36.94	27.37	0.10	7.08	12.83
765	31.80	14.20	31.88	27.37	0.05	5.54	-17.44
766	31.80	14.20	31.88	27.37	0.05	5.54	12.83
767	31.80	14.20	31.88	27.37	0.05	7.08	-17.44
768	31.80	14.20	31.88	27.37	0.10	7.08	-17.44
769	31.80	14.20	33.56	27.37	0.05	4.01	12.83
770	31.80	14.20	33.56	27.37	0.05	5.54	-17.44
771	31.80	14.20	33.56	27.37	0.05	5.54	12.83
772	31.80	14.20	33.56	27.37	0.05	7.08	-17.44
773	31.80	14.20	33.56	27.37	0.05	7.08	12.83
774	31.80	14.20	33.56	27.37	0.10	5.54	12.83
775	31.80	14.20	33.56	27.37	0.10	7.08	-17.44
776	31.80	14.20	33.56	27.37	0.10	7.08	12.83
777	31.80	14.20	33.56	27.37	0.10	8.61	-17.44
778	31.80	14.20	33.56	27.37	0.10	8.61	12.83
779	31.80	14.20	33.56	27.37	0.16	8.61	-17.44
780	31.80	14.20	35.25	27.37	0.05	4.01	12.83
781	31.80	14.20	35.25	27.37	0.05	4.01	43.10
782	31.80	14.20	35.25	27.37	0.05	5.54	-17.44
783	31.80	14.20	35.25	27.37	0.05	5.54	12.83
784	31.80	14.20	35.25	27.37	0.05	7.08	-17.44
785	31.80	14.20	35.25	27.37	0.05	7.08	12.83
786	31.80	14.20	35.25	27.37	0.05	7.08	43.10
787	31.80	14.20	35.25	27.37	0.10	5.54	-17.44
788	31.80	14.20	35.25	27.37	0.10	7.08	-47.71
789	31.80	14.20	35.25	27.37	0.10	7.08	-17.44
790	31.80	14.20	35.25	27.37	0.10	7.08	12.83
791	31.80	14.20	35.25	27.37	0.10	8.61	-17.44
792	31.80	14.20	35.25	27.37	0.10	8.61	12.83
793	31.80	14.20	35.25	27.37	0.16	8.61	-17.44
794	31.80	14.20	35.25	27.37	0.16	8.61	12.83
795	31.80	14.20	35.25	27.37	0.16	8.61	43.10
796	31.80	14.20	36.94	27.37	0.05	5.54	-17.44
797	31.80	14.20	36.94	27.37	0.05	5.54	12.83
798	31.80	14.20	36.94	27.37	0.05	5.54	43.10
799	31.80	14.20	36.94	27.37	0.05	7.08	-17.44
800	31.80	14.20	36.94	27.37	0.05	7.08	12.83
801	31.80	14.20	36.94	27.37	0.05	7.08	43.10
802	31.80	14.20	36.94	27.37	0.10	5.54	43.10
803	31.80	14.20	36.94	27.37	0.10	7.08	-17.44
804	31.80	14.20	36.94	27.37	0.10	7.08	12.83
805	31.80	14.20	36.94	27.37	0.10	7.08	43.10
806	31.80	14.20	36.94	27.37	0.10	8.61	-17.44
807	31.80	14.20	36.94	27.37	0.10	8.61	12.83
808	31.80	14.20	36.94	27.37	0.10	10.14	12.83
809	31.80	14.20	36.94	27.37	0.16	10.14	12.83
810	31.80	85.33	28.50	27.37	0.05	7.08	12.83
811	31.80	85.33	30.19	27.37	0.05	7.08	12.83
812	31.80	85.33	31.88	27.37	0.05	4.01	12.83
813	31.80	85.33	31.88	27.37	0.05	4.01	43.10
814	31.80	85.33	31.88	27.37	0.05	5.54	12.83
815	31.80	85.33	31.88	27.37	0.05	7.08	-17.44
816	31.80	85.33	31.88	27.37	0.05	7.08	12.83
817	31.80	85.33	33.56	27.37	0.05	4.01	12.83
818	31.80	85.33	33.56	27.37	0.05	4.01	43.10
819	31.80	85.33	33.56	27.37	0.05	5.54	12.83
820	31.80	85.33	33.56	27.37	0.05	5.54	43.10
821	31.80	85.33	33.56	27.37	0.05	5.54	73.37
822	31.80	85.33	33.56	27.37	0.05	7.08	-17.44
823	31.80	85.33	33.56	27.37	0.05	7.08	12.83
824	31.80	85.33	33.56	27.37	0.10	5.54	12.83
825	31.80	85.33	33.56	27.37	0.10	7.08	-17.44
826	31.80	85.33	33.56	27.37	0.10	7.08	12.83
827	31.80	85.33	33.56	27.37	0.10	8.61	-17.44
828	31.80	85.33	33.56	27.37	0.10	8.61	12.83
829	31.80	85.33	33.56	27.37	0.16	7.08	-17.44
830	31.80	85.33	35.25	27.37	0.05	4.01	12.83
831	31.80	85.33	35.25	27.37	0.05	4.01	-17.44
832	31.80	85.33	35.25	27.37	0.05	4.01	12.83
833	31.80	85.33	35.25	27.37	0.05	4.01	43.10
834	31.80	85.33	35.25	27.37	0.05	5.54	-17.44
835	31.80	85.33	35.25	27.37	0.05	5.54	12.83
836	31.80	85.33	35.25	27.37	0.05	5.54	43.10
837	31.80	85.33	35.25	27.37	0.05	5.54	103.65
838	31.80	85.33	35.25	27.37	0.05	7.08	-17.44
839	31.80	85.33	35.25	27.37	0.05	7.08	12.83
840	31.80	85.33	35.25	27.37	0.05	7.08	43.10
841	31.80	85.33	35.25	27.37	0.05	7.08	73.37
842	31.80	85.33	35.25	27.37	0.05	7.08	103.65
843	31.80	85.33	35.25	27.37	0.10	5.54	12.83
844	31.80	85.33	35.25	27.37	0.10	7.08	-17.44
845	31.80	85.33	35.25	27.37	0.10	7.08	12.83
846	31.80	85.33	35.25	27.37	0.10	7.08	43.10
847	31.80	85.33	35.25	27.37	0.10	7.08	73.37
848	31.80	85.33	35.25	27.37	0.10	8.61	-17.44
849	31.80	85.33	35.25	27.37	0.10	8.61	12.83
850	31.80	85.33	35.25	27.37	0.10	8.61	43.10
851	31.80	85.33	35.25	27.37	0.16	7.08	43.10
852	31.80	85.33	35.25	27.37	0.16	8.61	43.10
853	31.80	85.33	36.94	27.37	0.05	5.54	12.83
854	31.80	85.33	36.94	27.37	0.05	5.54	43.10
855	31.80	85.33	36.94	27.37	0.05	7.08	12.83
856	31.80	85.33	36.94	27.37	0.05	7.08	43.10
857	31.80	85.33	36.94	27.37	0.10	7.08	-17.44
858	31.80	85.33	36.94	27.37	0.10	7.08	12.83
859	31.80	85.33	36.94	27.37	0.10	7.08	43.10
860	31.80	85.33	36.94	27.37	0.10	8.61	12.83
861	31.80	85.33	36.94	27.37	0.10	10.14	12.83
862	31.80	85.33	36.94	27.37	0.16	7.08	43.10
863	31.80	85.33	36.94	27.37	0.16	8.61	12.83
864	31.80	85.33	36.94	27.37	0.16	10.14	12.83
865	31.80	156.47	33.56	27.37	0.05	4.01	43.10
866	31.80	156.47	33.56	27.37	0.05	5.54	12.83
867	31.80	156.47	33.56	27.37	0.05	5.54	43.10
868	31.80	156.47	33.56	27.37	0.05	5.54	73.37
869	31.80	156.47	33.56	27.37	0.05	5.54	103.65
870	31.80	156.47	35.25	27.37	0.05	4.01	43.10
871	31.80	156.47	35.25	27.37	0.05	5.54	12.83
872	31.80	156.47	35.25	27.37	0.05	5.54	43.10
873	31.80	156.47	35.25	27.37	0.05	5.54	73.37
874	31.80	156.47	35.25	27.37	0.05	5.54	103.65
875	31.80	156.47	35.25	27.37	0.05	7.08	43.10
876	31.80	156.47	35.25	27.37	0.05	7.08	73.37
877	31.80	156.47	35.25	27.37	0.05	7.08	103.65
878	73.19	14.20	33.56	27.37	0.05	5.54	12.83
879	73.19	14.20	33.56	27.37	0.05	7.08	12.83
880	73.19	14.20	33.56	27.37	0.10	7.08	12.83
881	73.19	14.20	33.56	27.37	0.10	8.61	-17.44
882	73.19	14.20	33.56	27.37	0.10	8.61	12.83
883	73.19	14.20	35.25	27.37	0.05	5.54	-17.44
884	73.19	14.20	35.25	27.37	0.05	5.54	12.83
885	73.19	14.20	35.25	27.37	0.05	5.54	43.10
886	73.19	14.20	35.25	27.37	0.05	7.08	-17.44
887	73.19	14.20	35.25	27.37	0.05	7.08	12.83
888	73.19	14.20	35.25	27.37	0.05	7.08	43.10
889	73.19	14.20	35.25	27.37	0.10	5.54	-17.44
890	73.19	14.20	35.25	27.37	0.10	7.08	-17.44
891	73.19	14.20	35.25	27.37	0.10	7.08	12.83
892	73.19	14.20	35.25	27.37	0.10	7.08	43.10
893	73.19	14.20	35.25	27.37	0.10	8.61	-17.44
894	73.19	14.20	35.25	27.37	0.10	8.61	12.83
895	73.19	14.20	36.94	27.37	0.05	5.54	12.83
896	73.19	14.20	36.94	27.37	0.05	7.08	-17.44
897	73.19	14.20	36.94	27.37	0.05	7.08	12.83
898	73.19	14.20	36.94	27.37	0.05	7.08	43.10
899	73.19	14.20	36.94	27.37	0.10	7.08	-17.44
900	73.19	14.20	36.94	27.37	0.10	7.08	12.83
901	73.19	14.20	36.94	27.37	0.10	7.08	43.10
902	73.19	85.33	33.56	27.37	0.05	5.54	12.83
903	73.19	85.33	33.56	27.37	0.05	7.08	-17.44
904	73.19	85.33	33.56	27.37	0.05	7.08	12.83
905	73.19	85.33	33.56	27.37	0.10	7.08	12.83
906	73.19	85.33	33.56	27.37	0.10	7.08	43.10
907	73.19	85.33	33.56	27.37	0.10	8.61	12.83
908	73.19	85.33	35.25	27.37	0.05	5.54	12.83
909	73.19	85.33	35.25	27.37	0.05	5.54	43.10
910	73.19	85.33	35.25	27.37	0.05	5.54	73.37
911	73.19	85.33	35.25	27.37	0.05	7.08	-17.44
912	73.19	85.33	35.25	27.37	0.05	7.08	12.83
