Case No.	u10 (m/s)	T (C)	q* (W/m2)	tau (N/m2)	hb (m)	taut (s)	tauc (s)	Da
450	8.3	13.6	22	0.203	72	709.1	82.8	8.5634
451	8.3	13.6	103	0.051	30	369.7	82.8	4.4648
452	8.3	13.6	103	0.127	30	279.3	82.8	3.3728
453	8.3	13.6	103	0.127	72	289.1	82.8	3.4916
454	8.3	13.6	103	0.203	30	264.2	82.8	3.1905
455	8.3	13.6	103	0.203	72	264.2	82.8	3.1911
456	8.3	13.6	184	0.127	30	303.1	82.8	3.6611
457	8.3	13.6	184	0.127	72	447.4	82.8	5.4036
458	8.3	13.6	184	0.203	72	314.7	82.8	3.8009
459	8.3	16.9	-384	0.127	30	287.1	56.8	5.0553
460	8.3	16.9	-303	0.127	30	285.1	56.8	5.0191
461	8.3	16.9	-303	0.127	72	279.9	56.8	4.9270
462	8.3	16.9	-222	0.127	72	283.0	56.8	4.9830
463	8.3	16.9	-222	0.127	113	285.7	56.8	5.0294
464	8.3	16.9	-141	0.127	30	284.3	56.8	5.0049
465	8.3	16.9	-141	0.127	72	288.3	56.8	5.0754
466	8.3	16.9	-141	0.127	113	288.8	56.8	5.0843
467	8.3	16.9	-141	0.127	155	276.3	56.8	4.8639
468	8.3	16.9	-141	0.203	72	258.1	56.8	4.5440
469	8.3	16.9	-141	0.203	113	260.0	56.8	4.5777
470	8.3	16.9	-59	0.051	113	377.2	56.8	6.6414
471	8.3	16.9	-59	0.127	30	281.7	56.8	4.9591
472	8.3	16.9	-59	0.127	72	273.9	56.8	4.8218
473	8.3	16.9	-59	0.127	113	282.1	56.8	4.9657
474	8.3	16.9	-59	0.127	155	275.9	56.8	4.8573
475	8.3	16.9	-59	0.203	113	261.8	56.8	4.6095
476	8.3	16.9	-59	0.203	155	322.9	56.8	5.6843
477	8.3	16.9	22	0.127	30	288.0	56.8	5.0697
478	8.3	16.9	103	0.051	30	375.0	56.8	6.6028
479	8.3	16.9	103	0.127	30	283.0	56.8	4.9825
480	8.3	16.9	184	0.127	30	287.2	56.8	5.0559
481	8.3	20.2	-465	0.127	72	290.3	41.5	6.9941
482	8.3	20.2	-384	0.127	30	296.4	41.5	7.1417
483	8.3	20.2	-384	0.127	72	297.9	41.5	7.1779
484	8.3	20.2	-384	0.127	113	290.4	41.5	6.9978
485	8.3	20.2	-303	0.127	72	289.2	41.5	6.9699
486	8.3	20.2	-303	0.127	113	285.2	41.5	6.8718
487	8.3	20.2	-303	0.203	30	264.0	41.5	6.3613
488	8.3	20.2	-222	0.127	30	297.2	41.5	7.1623
489	8.3	20.2	-222	0.127	72	285.9	41.5	6.8902
490	8.3	20.2	-222	0.127	113	286.0	41.5	6.8905
491	8.3	20.2	-141	0.051	30	348.1	41.5	8.3892
492	8.3	20.2	-141	0.051	72	361.6	41.5	8.7123
493	8.3	20.2	-141	0.127	30	284.1	41.5	6.8463
494	8.3	20.2	-141	0.127	72	278.7	41.5	6.7154
495	8.3	20.2	-141	0.127	113	278.0	41.5	6.6983
496	8.3	20.2	-59	0.051	72	365.9	41.5	8.8162
497	8.3	20.2	-59	0.051	113	366.6	41.5	8.8336
498	8.3	20.2	-59	0.127	30	279.7	41.5	6.7389
499	8.3	20.2	-59	0.127	72	300.4	41.5	7.2376
500	8.3	20.2	-59	0.127	113	279.0	41.5	6.7225
501	8.3	20.2	-59	0.127	155	276.4	41.5	6.6603
502	8.3	20.2	22	0.051	30	376.2	41.5	9.0652
503	8.3	20.2	22	0.051	72	374.1	41.5	9.0151
504	8.3	20.2	22	0.127	30	278.1	41.5	6.7022
505	8.3	20.2	22	0.127	72	285.7	41.5	6.8833
506	8.3	20.2	22	0.127	113	266.3	41.5	6.4171
507	8.3	20.2	103	0.127	30	286.5	41.5	6.9034
508	8.3	20.2	184	0.127	30	300.4	41.5	7.2375
509	8.3	23.4	-384	0.127	30	287.0	30.8	9.3193
510	8.3	23.4	-384	0.127	72	293.1	30.8	9.5160
511	8.3	23.4	-384	0.127	113	290.2	30.8	9.4225
512	8.3	23.4	-303	0.127	30	285.9	30.8	9.2827
513	8.3	23.4	-303	0.127	72	284.8	30.8	9.2477
514	8.3	23.4	-222	0.127	30	281.6	30.8	9.1413
515	8.3	23.4	-222	0.127	72	279.4	30.8	9.0724
516	8.3	23.4	-222	0.127	113	275.9	30.8	8.9576
517	8.3	23.4	-141	0.051	30	357.7	30.8	11.6131
518	8.3	23.4	-141	0.051	72	354.4	30.8	11.5069
519	8.3	23.4	-141	0.127	30	281.8	30.8	9.1482
520	8.3	23.4	-141	0.127	72	273.5	30.8	8.8807
521	8.3	23.4	-141	0.127	113	284.0	30.8	9.2218
522	8.3	23.4	-59	0.051	30	382.0	30.8	12.4014
523	8.3	23.4	-59	0.051	72	367.3	30.8	11.9250
524	8.3	23.4	-59	0.051	113	371.0	30.8	12.0469
525	8.3	23.4	-59	0.127	30	285.7	30.8	9.2765
526	8.3	23.4	-59	0.127	72	274.8	30.8	8.9230
527	8.3	23.4	-59	0.127	113	280.7	30.8	9.1140
528	8.3	23.4	22	0.051	30	374.3	30.8	12.1525
529	8.3	23.4	22	0.051	72	374.0	30.8	12.1441
530	8.3	23.4	22	0.127	30	279.1	30.8	9.0611
531	8.3	23.4	22	0.127	72	281.8	30.8	9.1487
532	8.3	23.4	22	0.127	113	285.3	30.8	9.2629
533	8.3	23.4	22	0.203	30	285.2	30.8	9.2601
534	8.3	23.4	103	0.051	30	372.6	30.8	12.0983
535	8.3	23.4	103	0.051	72	368.0	30.8	11.9484
536	8.3	23.4	103	0.127	30	305.1	30.8	9.9064
537	8.3	23.4	184	0.127	30	278.7	30.8	9.0489
538	8.3	26.7	-59	0.051	30	379.5	23.5	16.1499
539	8.3	26.7	-59	0.051	72	373.9	23.5	15.9107
540	8.3	26.7	-59	0.051	113	373.5	23.5	15.8949
541	8.3	26.7	-59	0.127	30	285.4	23.5	12.1433
542	8.3	26.7	-59	0.127	72	286.9	23.5	12.2094
543	8.3	26.7	-59	0.127	113	283.5	23.5	12.0657
544	8.3	26.7	22	0.051	30	368.1	23.5	15.6642
545	8.3	26.7	22	0.051	72	369.7	23.5	15.7324
546	8.3	26.7	22	0.127	30	282.4	23.5	12.0168
547	8.3	26.7	22	0.127	72	279.7	23.5	11.9042
548	8.3	26.7	22	0.127	113	310.4	23.5	13.2065
549	8.3	26.7	103	0.051	30	368.4	23.5	15.6771
550	8.3	26.7	103	0.051	72	368.3	23.5	15.6739
551	8.3	26.7	103	0.127	30	282.2	23.5	12.0067
552	8.3	26.7	103	0.127	72	316.2	23.5	13.4574
553	8.3	26.7	184	0.127	30	291.5	23.5	12.4049
554	8.3	30.0	-59	0.127	72	275.3	18.4	14.9646
555	8.3	30.0	22	0.051	30	370.0	18.4	20.1093
556	8.3	30.0	22	0.051	72	371.9	18.4	20.2103
557	8.3	30.0	22	0.127	30	279.8	18.4	15.2069
558	8.3	30.0	22	0.127	72	272.5	18.4	14.8119
559	8.3	30.0	103	0.051	30	379.4	18.4	20.6213
560	8.3	30.0	103	0.127	30	278.8	18.4	15.1500
561	9.5	0.5	-384	0.356	113	244.3	482	0.5068
562	9.5	0.5	-303	0.203	196	236.1	482	0.4897
563	9.5	0.5	-222	0.203	72	243.1	482	0.5043
564	9.5	0.5	-222	0.203	113	233.5	482	0.4845
565	9.5	0.5	-222	0.203	196	229.7	482	0.4766
566	9.5	0.5	-222	0.203	237	234.4	482	0.4864
567	9.5	0.5	-222	0.279	72	229.1	482	0.4753
568	9.5	0.5	-222	0.279	155	224.1	482	0.4649
569	9.5	0.5	-222	0.356	72	226.7	482	0.4703
570	9.5	0.5	-222	0.356	113	265.4	482	0.5506
571	9.5	0.5	-222	0.432	72	207.0	482	0.4294
572	9.5	0.5	-222	0.508	72	240.0	482	0.4979
573	9.5	0.5	-141	0.127	72	252.0	482	0.5228
574	9.5	0.5	-141	0.203	72	257.4	482	0.5340
575	9.5	0.5	-141	0.203	113	248.8	482	0.5161
576	9.5	0.5	-141	0.203	155	252.7	482	0.5242
577	9.5	0.5	-141	0.203	196	386.2	482	0.8012
578	9.5	0.5	-141	0.203	237	233.8	482	0.4851
579	9.5	0.5	-141	0.279	30	227.8	482	0.4725
580	9.5	0.5	-141	0.279	72	249.6	482	0.5179
581	9.5	0.5	-141	0.279	155	217.1	482	0.4504
582	9.5	0.5	-141	0.279	196	434.9	482	0.9024
583	9.5	0.5	-141	0.279	237	223.0	482	0.4626
584	9.5	0.5	-141	0.279	279	288.8	482	0.5991
585	9.5	0.5	-141	0.356	72	271.4	482	0.5631
586	9.5	0.5	-141	0.356	113	231.6	482	0.4805
587	9.5	0.5	-141	0.356	237	211.5	482	0.4389
588	9.5	0.5	-141	0.432	30	1041.2	482	2.1601
589	9.5	0.5	-141	0.432	72	239.6	482	0.4971
590	9.5	0.5	-141	0.508	72	273.0	482	0.5665
591	9.5	0.5	-141	0.584	72	326.7	482	0.6779
592	9.5	0.5	-141	0.660	72	209.0	482	0.4335
593	9.5	0.5	-141	0.737	72	208.2	482	0.4319
594	9.5	0.5	-59	0.127	72	257.8	482	0.5348
595	9.5	0.5	-59	0.127	113	259.8	482	0.5391
596	9.5	0.5	-59	0.127	155	262.3	482	0.5441
597	9.5	0.5	-59	0.127	196	250.4	482	0.5194
598	9.5	0.5	-59	0.203	30	224.2	482	0.4651
599	9.5	0.5	-59	0.203	72	235.3	482	0.4883
600	9.5	0.5	-59	0.203	113	252.5	482	0.5239
601	9.5	0.5	-59	0.203	155	304.7	482	0.6321
602	9.5	0.5	-59	0.203	196	252.7	482	0.5243
603	9.5	0.5	-59	0.203	237	230.3	482	0.4778
604	9.5	0.5	-59	0.279	30	219.6	482	0.4556
605	9.5	0.5	-59	0.279	72	267.4	482	0.5548
606	9.5	0.5	-59	0.279	113	224.9	482	0.4667
607	9.5	0.5	-59	0.279	155	218.2	482	0.4527
608	9.5	0.5	-59	0.279	196	1075.0	482	2.2303
609	9.5	0.5	-59	0.356	30	227.4	482	0.4717
610	9.5	0.5	22	0.127	113	245.1	482	0.5085
611	9.5	0.5	22	0.203	72	248.9	482	0.5164
612	9.5	0.5	22	0.203	113	254.4	482	0.5278
613	9.5	0.5	22	0.203	155	367.2	482	0.7617
614	9.5	0.5	103	0.127	30	246.6	482	0.5116
615	9.5	0.5	103	0.127	72	259.7	482	0.5388
616	9.5	0.5	103	0.203	30	227.5	482	0.4719
617	9.5	0.5	103	0.203	72	250.7	482	0.5200
618	9.5	0.5	184	0.127	30	249.6	482	0.5179
619	9.5	0.5	184	0.127	72	255.2	482	0.5295
620	9.5	0.5	184	0.127	113	550.5	482	1.1420
621	9.5	0.5	184	0.203	30	248.1	482	0.5147
622	9.5	0.5	184	0.203	72	277.6	482	0.5759
623	9.5	3.7	-303	0.127	113	256.9	299.4	0.8581
624	9.5	3.7	-303	0.203	72	231.1	299.4	0.7720
625	9.5	3.7	-303	0.203	113	246.6	299.4	0.8237
626	9.5	3.7	-222	0.127	72	254.6	299.4	0.8502
627	9.5	3.7	-222	0.127	113	255.8	299.4	0.8543
628	9.5	3.7	-222	0.203	72	247.8	299.4	0.8278
629	9.5	3.7	-222	0.279	30	541.5	299.4	1.8088
630	9.5	3.7	-222	0.279	72	241.6	299.4	0.8068
631	9.5	3.7	-222	0.279	237	222.9	299.4	0.7444
632	9.5	3.7	-222	0.279	279	217.0	299.4	0.7248
633	9.5	3.7	-222	0.279	320	213.1	299.4	0.7117
634	9.5	3.7	-222	0.356	196	279.9	299.4	0.9349
635	9.5	3.7	-141	0.127	113	247.9	299.4	0.8280
636	9.5	3.7	-141	0.203	30	236.1	299.4	0.7887
637	9.5	3.7	-141	0.203	72	248.6	299.4	0.8302
638	9.5	3.7	-141	0.203	113	234.2	299.4	0.7821
639	9.5	3.7	-141	0.203	155	227.8	299.4	0.7607
640	9.5	3.7	-141	0.203	196	228.5	299.4	0.7632
641	9.5	3.7	-141	0.203	237	229.9	299.4	0.7678
642	9.5	3.7	-141	0.203	279	229.2	299.4	0.7656
643	9.5	3.7	-141	0.279	30	224.6	299.4	0.7501
644	9.5	3.7	-141	0.279	72	234.6	299.4	0.7834
645	9.5	3.7	-141	0.279	155	238.7	299.4	0.7974
646	9.5	3.7	-141	0.279	196	215.3	299.4	0.7190
647	9.5	3.7	-141	0.279	237	234.3	299.4	0.7827
648	9.5	3.7	-141	0.279	279	224.3	299.4	0.7492
649	9.5	3.7	-141	0.356	196	1010.8	299.4	3.3760
650	9.5	3.7	-141	0.356	237	241.2	299.4	0.8055
651	9.5	3.7	-59	0.127	30	253.6	299.4	0.8469
652	9.5	3.7	-59	0.127	72	254.3	299.4	0.8492
653	9.5	3.7	-59	0.127	113	258.4	299.4	0.8630
654	9.5	3.7	-59	0.127	155	254.4	299.4	0.8496
655	9.5	3.7	-59	0.203	30	224.3	299.4	0.7490
656	9.5	3.7	-59	0.203	72	269.2	299.4	0.8990
657	9.5	3.7	-59	0.203	113	252.3	299.4	0.8426
658	9.5	3.7	-59	0.203	155	235.6	299.4	0.7869
659	9.5	3.7	-59	0.203	196	251.3	299.4	0.8393
660	9.5	3.7	-59	0.203	237	230.4	299.4	0.7697
661	9.5	3.7	-59	0.203	279	230.0	299.4	0.7681
662	9.5	3.7	-59	0.203	320	273.0	299.4	0.9117
663	9.5	3.7	-59	0.203	362	228.6	299.4	0.7635
664	9.5	3.7	-59	0.203	403	226.5	299.4	0.7567
665	9.5	3.7	-59	0.279	72	244.2	299.4	0.8156
666	9.5	3.7	-59	0.279	113	278.8	299.4	0.9313
667	9.5	3.7	-59	0.279	155	265.0	299.4	0.8851
668	9.5	3.7	-59	0.279	196	234.7	299.4	0.7841
669	9.5	3.7	-59	0.279	237	537.1	299.4	1.7940
670	9.5	3.7	22	0.127	113	289.3	299.4	0.9663
671	9.5	3.7	22	0.203	113	247.9	299.4	0.8281
672	9.5	3.7	22	0.203	155	338.3	299.4	1.1299
673	9.5	3.7	22	0.203	196	516.2	299.4	1.7240
674	9.5	3.7	22	0.279	155	458.7	299.4	1.5320
675	9.5	3.7	103	0.127	30	260.3	299.4	0.8695
676	9.5	3.7	103	0.127	72	252.3	299.4	0.8427
677	9.5	3.7	103	0.127	113	258.7	299.4	0.8641
678	9.5	3.7	103	0.203	30	223.1	299.4	0.7452
679	9.5	3.7	103	0.203	72	253.3	299.4	0.8462
680	9.5	3.7	103	0.203	113	268.9	299.4	0.8980
681	9.5	3.7	103	0.203	279	223.9	299.4	0.7479
682	9.5	3.7	184	0.127	30	299.0	299.4	0.9986
683	9.5	3.7	184	0.127	72	276.4	299.4	0.9233
684	9.5	3.7	184	0.127	113	251.6	299.4	0.8404
685	9.5	3.7	184	0.127	155	497.8	299.4	1.6626
686	9.5	3.7	184	0.127	196	378.2	299.4	1.2631
687	9.5	3.7	184	0.127	237	405.8	299.4	1.3555
688	9.5	3.7	184	0.203	30	278.3	299.4	0.9296
689	9.5	3.7	184	0.203	72	269.3	299.4	0.8994
690	9.5	3.7	184	0.203	113	267.9	299.4	0.8949
691	9.5	3.7	184	0.203	196	829.2	299.4	2.7695
692	9.5	7.0	-303	0.127	72	259.5	188.4	1.3773
693	9.5	7.0	-303	0.203	30	228.1	188.4	1.2107
694	9.5	7.0	-303	0.203	72	231.7	188.4	1.2296
695	9.5	7.0	-303	0.203	113	237.7	188.4	1.2618
696	9.5	7.0	-222	0.127	30	255.0	188.4	1.3535
697	9.5	7.0	-222	0.127	72	250.8	188.4	1.3310
698	9.5	7.0	-222	0.203	30	242.3	188.4	1.2861
699	9.5	7.0	-222	0.203	72	238.9	188.4	1.2681
700	9.5	7.0	-222	0.203	113	252.5	188.4	1.3402
701	9.5	7.0	-222	0.203	155	236.7	188.4	1.2561
702	9.5	7.0	-222	0.279	113	242.3	188.4	1.2863
703	9.5	7.0	-222	0.279	155	217.3	188.4	1.1532
704	9.5	7.0	-222	0.279	196	233.8	188.4	1.2410
705	9.5	7.0	-222	0.279	237	217.7	188.4	1.1553
706	9.5	7.0	-222	0.279	279	297.3	188.4	1.5778
707	9.5	7.0	-222	0.279	320	367.6	188.4	1.9512
708	9.5	7.0	-222	0.279	362	712.8	188.4	3.7837
709	9.5	7.0	-222	0.279	403	268.9	188.4	1.4272
710	9.5	7.0	-141	0.127	72	249.2	188.4	1.3225
711	9.5	7.0	-141	0.127	113	254.6	188.4	1.3516
712	9.5	7.0	-141	0.203	30	237.7	188.4	1.2618
713	9.5	7.0	-141	0.203	72	235.9	188.4	1.2521
714	9.5	7.0	-141	0.203	113	234.4	188.4	1.2440
715	9.5	7.0	-141	0.203	155	227.4	188.4	1.2072
716	9.5	7.0	-141	0.203	196	223.4	188.4	1.1856
717	9.5	7.0	-141	0.203	237	224.1	188.4	1.1893
718	9.5	7.0	-141	0.279	30	339.3	188.4	1.8012
719	9.5	7.0	-141	0.279	72	219.7	188.4	1.1664
720	9.5	7.0	-141	0.279	113	234.0	188.4	1.2421
721	9.5	7.0	-141	0.279	196	1338.3	188.4	7.1034
722	9.5	7.0	-141	0.279	237	241.1	188.4	1.2799
723	9.5	7.0	-141	0.279	279	257.5	188.4	1.3669
724	9.5	7.0	-141	0.356	196	217.0	188.4	1.1518
725	9.5	7.0	-141	0.356	237	724.0	188.4	3.8428
726	9.5	7.0	-59	0.127	30	251.0	188.4	1.3325
727	9.5	7.0	-59	0.127	72	274.1	188.4	1.4547
728	9.5	7.0	-59	0.127	113	254.0	188.4	1.3483
729	9.5	7.0	-59	0.127	155	243.5	188.4	1.2926
730	9.5	7.0	-59	0.127	196	248.2	188.4	1.3174
731	9.5	7.0	-59	0.203	30	236.5	188.4	1.2551
732	9.5	7.0	-59	0.203	72	303.2	188.4	1.6092
733	9.5	7.0	-59	0.203	113	235.9	188.4	1.2519
734	9.5	7.0	-59	0.203	155	237.4	188.4	1.2602
735	9.5	7.0	-59	0.203	196	288.0	188.4	1.5284
736	9.5	7.0	-59	0.203	237	541.1	188.4	2.8720
737	9.5	7.0	-59	0.203	279	485.1	188.4	2.5747
738	9.5	7.0	-59	0.203	320	229.6	188.4	1.2187
739	9.5	7.0	-59	0.203	362	229.5	188.4	1.2180
740	9.5	7.0	-59	0.203	403	229.5	188.4	1.2181
741	9.5	7.0	-59	0.279	72	261.5	188.4	1.3878
742	9.5	7.0	-59	0.279	113	285.4	188.4	1.5149
743	9.5	7.0	-59	0.279	155	226.4	188.4	1.2017
744	9.5	7.0	-59	0.279	196	270.5	188.4	1.4359
745	9.5	7.0	-59	0.279	237	227.5	188.4	1.2075
746	9.5	7.0	-59	0.279	279	939.3	188.4	4.9857
747	9.5	7.0	-59	0.279	320	243.9	188.4	1.2947
748	9.5	7.0	-59	0.279	362	1146.3	188.4	6.0844
749	9.5	7.0	22	0.127	113	329.1	188.4	1.7469
750	9.5	7.0	22	0.203	72	248.8	188.4	1.3204
751	9.5	7.0	22	0.203	113	308.7	188.4	1.6388
752	9.5	7.0	22	0.203	196	363.5	188.4	1.9297
753	9.5	7.0	22	0.279	155	257.6	188.4	1.3676
754	9.5	7.0	22	0.279	196	389.6	188.4	2.0677
755	9.5	7.0	103	0.127	30	254.1	188.4	1.3487
756	9.5	7.0	103	0.127	72	262.0	188.4	1.3906
757	9.5	7.0	103	0.127	113	287.9	188.4	1.5280
758	9.5	7.0	103	0.127	155	253.4	188.4	1.3448
759	9.5	7.0	103	0.203	30	269.7	188.4	1.4317
760	9.5	7.0	103	0.203	72	238.8	188.4	1.2675
761	9.5	7.0	103	0.203	113	358.3	188.4	1.9020
762	9.5	7.0	103	0.203	155	252.1	188.4	1.3379
763	9.5	7.0	103	0.203	237	240.8	188.4	1.2779
764	9.5	7.0	103	0.203	279	236.1	188.4	1.2533
765	9.5	7.0	103	0.279	72	267.6	188.4	1.4206
766	9.5	7.0	184	0.127	30	250.3	188.4	1.3287
767	9.5	7.0	184	0.127	72	330.9	188.4	1.7561
768	9.5	7.0	184	0.127	113	277.1	188.4	1.4708
769	9.5	7.0	184	0.127	196	253.4	188.4	1.3452
770	9.5	7.0	184	0.127	279	258.8	188.4	1.3735
771	9.5	7.0	184	0.203	30	237.2	188.4	1.2593
772	9.5	7.0	184	0.203	72	250.0	188.4	1.3267
773	9.5	7.0	184	0.203	113	312.2	188.4	1.6572
774	9.5	7.0	184	0.203	155	319.4	188.4	1.6954
775	9.5	7.0	184	0.203	320	837.6	188.4	4.4459
776	9.5	10.3	-384	0.203	72	228.0	122.8	1.8566
777	9.5	10.3	-303	0.127	72	266.7	122.8	2.1720
778	9.5	10.3	-303	0.203	30	236.1	122.8	1.9229
779	9.5	10.3	-303	0.203	72	235.7	122.8	1.9195
780	9.5	10.3	-303	0.203	113	233.5	122.8	1.9012
781	9.5	10.3	-303	0.279	113	234.7	122.8	1.9113
782	9.5	10.3	-222	0.203	30	228.3	122.8	1.8591
783	9.5	10.3	-222	0.279	403	254.7	122.8	2.0742
784	9.5	10.3	-141	0.127	72	248.8	122.8	2.0258
785	9.5	10.3	-141	0.203	72	259.1	122.8	2.1099
786	9.5	10.3	-141	0.203	113	240.0	122.8	1.9546
787	9.5	10.3	-141	0.203	155	240.4	122.8	1.9573
788	9.5	10.3	-141	0.203	196	226.0	122.8	1.8403
789	9.5	10.3	-141	0.203	237	354.3	122.8	2.8850
790	9.5	10.3	-141	0.279	113	266.8	122.8	2.1730
791	9.5	10.3	-141	0.279	155	229.0	122.8	1.8649
792	9.5	10.3	-59	0.127	30	257.1	122.8	2.0939
793	9.5	10.3	-59	0.127	72	256.7	122.8	2.0901
794	9.5	10.3	-59	0.127	113	251.8	122.8	2.0501
795	9.5	10.3	-59	0.127	155	271.6	122.8	2.2114
796	9.5	10.3	-59	0.127	196	245.2	122.8	1.9966
797	9.5	10.3	-59	0.203	30	238.0	122.8	1.9380
798	9.5	10.3	-59	0.203	72	233.3	122.8	1.8998
799	9.5	10.3	-59	0.203	113	267.0	122.8	2.1741
800	9.5	10.3	-59	0.203	155	261.8	122.8	2.1317
801	9.5	10.3	-59	0.203	196	443.6	122.8	3.6123
802	9.5	10.3	-59	0.203	237	333.4	122.8	2.7148
803	9.5	10.3	-59	0.203	279	233.3	122.8	1.8997
804	9.5	10.3	-59	0.203	320	419.4	122.8	3.4153
805	9.5	10.3	-59	0.279	113	273.5	122.8	2.2273
806	9.5	10.3	-59	0.279	237	900.6	122.8	7.3336
807	9.5	10.3	103	0.127	30	254.5	122.8	2.0726
808	9.5	10.3	103	0.127	72	253.5	122.8	2.0642
809	9.5	10.3	103	0.203	30	240.9	122.8	1.9615
810	9.5	10.3	103	0.203	72	308.8	122.8	2.5150
811	9.5	10.3	103	0.203	113	314.5	122.8	2.5610
812	9.5	10.3	103	0.203	155	246.3	122.8	2.0055
813	9.5	10.3	184	0.127	30	269.4	122.8	2.1936
814	9.5	10.3	184	0.127	72	407.4	122.8	3.3179
815	9.5	10.3	184	0.203	30	226.4	122.8	1.8433
816	9.5	10.3	184	0.203	72	266.1	122.8	2.1673
817	9.5	10.3	184	0.203	113	316.2	122.8	2.5751
818	9.5	13.6	-384	0.127	72	258.2	82.8	3.1189
819	9.5	13.6	-384	0.203	30	238.0	82.8	2.8739
820	9.5	13.6	-384	0.203	72	229.1	82.8	2.7675
821	9.5	13.6	-303	0.127	30	260.3	82.8	3.1437
822	9.5	13.6	-303	0.127	72	257.6	82.8	3.1110
823	9.5	13.6	-303	0.203	72	236.0	82.8	2.8507
824	9.5	13.6	-222	0.203	113	254.0	82.8	3.0681
825	9.5	13.6	-222	0.203	155	249.5	82.8	3.0128
826	9.5	13.6	-222	0.203	196	226.4	82.8	2.7339
827	9.5	13.6	-222	0.279	72	223.6	82.8	2.7002
828	9.5	13.6	-222	0.279	113	252.2	82.8	3.0461
829	9.5	13.6	-222	0.279	155	236.9	82.8	2.8605
830	9.5	13.6	-222	0.279	196	830.3	82.8	10.0276
831	9.5	13.6	-141	0.127	113	259.4	82.8	3.1330
832	9.5	13.6	-141	0.127	155	260.4	82.8	3.1450
833	9.5	13.6	-141	0.127	196	252.1	82.8	3.0443
834	9.5	13.6	-141	0.203	30	244.7	82.8	2.9555
835	9.5	13.6	-141	0.203	72	245.9	82.8	2.9695
836	9.5	13.6	-141	0.203	113	241.0	82.8	2.9107
837	9.5	13.6	-141	0.203	155	233.2	82.8	2.8170
838	9.5	13.6	-141	0.203	196	228.4	82.8	2.7581
839	9.5	13.6	-141	0.203	237	267.7	82.8	3.2325
840	9.5	13.6	-141	0.279	72	224.4	82.8	2.7096
841	9.5	13.6	-141	0.279	113	244.9	82.8	2.9578
842	9.5	13.6	-141	0.279	155	240.7	82.8	2.9065
843	9.5	13.6	-141	0.279	196	220.5	82.8	2.6626
844	9.5	13.6	-141	0.279	237	211.6	82.8	2.5560
845	9.5	13.6	-59	0.127	72	246.5	82.8	2.9768
846	9.5	13.6	-59	0.127	113	260.1	82.8	3.1413
847	9.5	13.6	-59	0.127	155	268.9	82.8	3.2479
848	9.5	13.6	-59	0.127	196	247.5	82.8	2.9891
849	9.5	13.6	-59	0.203	30	239.6	82.8	2.8935
850	9.5	13.6	-59	0.203	72	234.9	82.8	2.8364
851	9.5	13.6	-59	0.203	113	255.1	82.8	3.0813
852	9.5	13.6	-59	0.203	155	235.3	82.8	2.8422
853	9.5	13.6	-59	0.203	196	231.0	82.8	2.7896
854	9.5	13.6	-59	0.203	237	387.4	82.8	4.6786
855	9.5	13.6	22	0.127	30	249.6	82.8	3.0147
856	9.5	13.6	22	0.203	30	245.5	82.8	2.9647
857	9.5	13.6	22	0.203	72	379.7	82.8	4.5853
858	9.5	13.6	103	0.127	30	272.9	82.8	3.2963
859	9.5	13.6	103	0.127	72	303.6	82.8	3.6672
860	9.5	13.6	103	0.203	30	241.5	82.8	2.9166
861	9.5	13.6	103	0.203	72	264.1	82.8	3.1890
862	9.5	13.6	184	0.127	30	262.5	82.8	3.1704
863	9.5	13.6	184	0.127	72	292.4	82.8	3.5310
864	9.5	13.6	184	0.203	72	274.8	82.8	3.3194
865	9.5	16.9	-546	0.279	72	222.8	56.8	3.9219
866	9.5	16.9	-465	0.203	30	230.6	56.8	4.0602
867	9.5	16.9	-465	0.203	72	240.5	56.8	4.2339
868	9.5	16.9	-465	0.279	113	227.5	56.8	4.0057
869	9.5	16.9	-384	0.127	30	269.0	56.8	4.7365
870	9.5	16.9	-384	0.203	30	235.8	56.8	4.1520
871	9.5	16.9	-384	0.279	155	227.8	56.8	4.0103
872	9.5	16.9	-303	0.127	72	260.4	56.8	4.5849
873	9.5	16.9	-303	0.203	30	235.8	56.8	4.1510
874	9.5	16.9	-303	0.203	72	234.7	56.8	4.1312
875	9.5	16.9	-303	0.203	113	235.7	56.8	4.1491
876	9.5	16.9	-303	0.279	72	282.6	56.8	4.9753
877	9.5	16.9	-222	0.127	72	259.8	56.8	4.5734
878	9.5	16.9	-222	0.127	113	256.3	56.8	4.5126
879	9.5	16.9	-222	0.203	72	231.2	56.8	4.0711
880	9.5	16.9	-222	0.203	113	227.2	56.8	3.9996
881	9.5	16.9	-222	0.203	155	239.4	56.8	4.2144
882	9.5	16.9	-222	0.279	72	242.1	56.8	4.2631
883	9.5	16.9	-222	0.279	113	224.9	56.8	3.9594
884	9.5	16.9	-141	0.127	72	257.6	56.8	4.5360
885	9.5	16.9	-141	0.127	113	264.1	56.8	4.6490
886	9.5	16.9	-141	0.127	155	258.8	56.8	4.5557
887	9.5	16.9	-141	0.203	72	248.6	56.8	4.3773
888	9.5	16.9	-141	0.203	113	224.7	56.8	3.9567
889	9.5	16.9	-141	0.203	155	235.2	56.8	4.1412
890	9.5	16.9	-59	0.127	72	292.8	56.8	5.1544
891	9.5	16.9	-59	0.127	113	257.2	56.8	4.5286
892	9.5	16.9	-59	0.203	30	237.5	56.8	4.1807
